Date,Close Price
2009/4/2,38.580002
2009/4/3,38.599998
2009/4/6,38.790001
2009/4/7,38.799999
2009/4/8,37.73
2009/4/9,39.279999
2009/4/10,39.970001
2009/4/13,40.18
2009/4/14,40.5
2009/4/15,40.25
2009/4/16,41.200001
2009/4/17,39.880001
2009/4/20,40.169998
2009/4/21,40.779999
2009/4/22,40.650002
2009/4/23,40.459999
2009/4/24,40.5
2009/4/27,39.52
2009/4/28,39.049999
2009/4/29,39.400002
2009/4/30,42.150002
2009/5/4,45.099998
2009/5/5,46.299999
2009/5/6,46.400002
2009/5/7,46.299999
2009/5/8,45.830002
2009/5/11,46.200001
2009/5/12,44.599998
2009/5/13,44.669998
2009/5/14,43.650002
2009/5/15,44.799999
2009/5/18,45.060001
2009/5/19,46.099998
2009/5/20,46.299999
2009/5/21,45.950001
2009/5/22,45.779999
2009/5/25,45.73
2009/5/26,45.599998
2009/5/27,48
2009/6/1,47.720001
2009/6/2,47.849998
2009/6/3,47.790001
2009/6/4,46.700001
2009/6/5,46.619999
2009/6/8,45.709999
2009/6/9,44.450001
2009/6/10,44.849998
2009/6/11,45.25
2009/6/12,44.66
2009/6/15,43.040001
2009/6/16,43.049999
2009/6/17,42.970001
2009/6/18,42.75
2009/6/19,43.25
2009/6/22,43.900002
2009/6/23,42.849998
2009/6/24,44.080002
2009/6/25,44.580002
2009/6/26,44.599998
2009/6/29,44.279999
2009/6/30,44.459999
2009/7/1,45.450001
2009/7/2,45.900002
2009/7/3,45.799999
2009/7/6,45.689999
2009/7/7,46.189999
2009/7/8,45.66
2009/7/9,46.5
2009/7/10,46.779999
2009/7/13,45.299999
2009/7/14,46.139999
2009/7/15,47.049999
2009/7/16,47.450001
2009/7/17,47.869999
2009/7/20,48.5
2009/7/21,48.400002
2009/7/22,48.48
2009/7/23,48.509998
2009/7/24,48.380001
2009/7/27,48.830002
2009/7/28,49.700001
2009/7/29,49.349998
2009/7/30,48.849998
2009/7/31,49.02
2009/8/3,49.189999
2009/8/4,48.650002
2009/8/5,48.049999
2009/8/6,48.139999
2009/8/10,48.259998
2009/8/11,48.419998
2009/8/12,48.25
2009/8/13,49.360001
2009/8/14,49.619999
2009/8/17,48.66
2009/8/18,48.02
2009/8/19,47.860001
2009/8/20,47.599998
2009/8/21,47.18
2009/8/24,48.700001
2009/8/25,48.330002
2009/8/26,48
2009/8/27,47.75
2009/8/28,48.400002
2009/8/31,48.450001
2009/9/1,50.200001
2009/9/2,50.200001
2009/9/3,50.450001
2009/9/4,51.049999
2009/9/7,51.799999
2009/9/8,52.5
2009/9/9,52.049999
2009/9/10,52.849998
2009/9/11,52.5
2009/9/14,51.849998
2009/9/15,52.450001
2009/9/16,53.200001
2009/9/17,53.150002
2009/9/18,53.299999
2009/9/21,53.150002
2009/9/22,52.950001
2009/9/23,52.700001
2009/9/24,52
2009/9/25,52.349998
2009/9/28,51.799999
2009/9/29,52.849998
2009/9/30,53.299999
2009/10/1,53.650002
2009/10/2,52.700001
2009/10/5,52.650002
2009/10/6,53.599998
2009/10/7,53.900002
2009/10/8,53.049999
2009/10/9,53.349998
2009/10/12,53.599998
2009/10/13,53.700001
2009/10/14,54.349998
2009/10/15,54.650002
2009/10/16,54.650002
2009/10/19,54.849998
2009/10/20,54.900002
2009/10/21,54.5
2009/10/22,53.700001
2009/10/23,53.25
2009/10/26,53.5
2009/10/27,53.400002
2009/10/28,52.549999
2009/10/29,51.549999
2009/10/30,51.650002
2009/11/2,51.349998
2009/11/3,51
2009/11/4,51.950001
2009/11/5,51.849998
2009/11/6,52.25
2009/11/9,52.75
2009/11/10,53.150002
2009/11/11,53.849998
2009/11/12,53.799999
2009/11/13,53.650002
2009/11/16,54.549999
2009/11/17,54.099998
2009/11/18,54.150002
2009/11/19,53.950001
2009/11/20,53.450001
2009/11/23,53.400002
2009/11/24,53.650002
2009/11/25,54
2009/11/26,53.849998
2009/11/27,52.200001
2009/11/30,52.700001
2009/12/1,53.25
2009/12/2,53.400002
2009/12/3,53.450001
2009/12/4,53.099998
2009/12/7,53.950001
2009/12/8,53.700001
2009/12/9,53.849998
2009/12/10,53
2009/12/11,53.849998
2009/12/14,53.900002
2009/12/15,53.75
2009/12/16,53.200001
2009/12/17,53.400002
2009/12/18,53.25
2009/12/21,53.700001
2009/12/22,54.150002
2009/12/23,54.549999
2009/12/24,55.099998
2009/12/25,55.200001
2009/12/28,55.599998
2009/12/29,55.5
2009/12/30,55.700001
2009/12/31,56.450001
2010/1/4,56.5
2010/1/5,56.5
2010/1/6,57.549999
2010/1/7,57.400002
2010/1/8,57.75
2010/1/11,57.900002
2010/1/12,57.599998
2010/1/13,56.75
2010/1/14,57.450001
2010/1/15,57.799999
2010/1/18,57.5
2010/1/19,56.75
2010/1/20,56.400002
2010/1/21,55.950001
2010/1/22,54.400002
2010/1/25,54.200001
2010/1/26,52.950001
2010/1/27,52.900002
2010/1/28,54.049999
2010/1/29,53
2010/2/1,52.400002
2010/2/2,51.849998
2010/2/3,52.75
2010/2/4,52.549999
2010/2/5,50.75
2010/2/8,50.849998
2010/2/9,51.549999
2010/2/10,52.099998
2010/2/22,52.599998
2010/2/23,52.599998
2010/2/24,52.25
2010/2/25,51.650002
2010/2/26,51.549999
2010/3/1,52.799999
2010/3/2,52.650002
2010/3/3,52.650002
2010/3/4,52.200001
2010/3/5,52.950001
2010/3/8,53.650002
2010/3/9,53.799999
2010/3/10,53.799999
2010/3/11,53.650002
2010/3/12,53.599998
2010/3/15,52.849998
2010/3/16,53.099998
